"Наименование товара","Цена за шт.","Кол-во"
"Пирог с ягодами (брусн)","179.99","1"
"Контейнер HC Lock&Lock","179.99","1"
"Пакет ЛЕНТА 9кг","7.49","5"
"Свеча GARDEX Family","449.99","1"
"Сок лайма натур АЗБУКА","154.99","1"
"Термокружка HITT 350мл","649.00","1"
"Сок лимона натур АЗБУКА","129.99","1"
"Коврик тур. 180x50x1см","699.99","1"
"Набор ложек стол. OL/3654","69.99","1"
"Набор вилок стол. OL/3654","69.99","1"
"Джин ROYAL RAVEN Англи","509.99","1"
"Сидр FERN CIDER ябл/ма","139.99","1"
"Медовуха WHITE PHOENIX","99.99","1"
"Медовуха WHITE PHOENIX","99.99","1"
"Джин FOXBRIDGE Blackbe","399.99","1"
"Медовуха WHITE PHOENIX","99.99","1"
"Сидр FERN CIDER ябл с","139.99","1"
"Виски DEWAR'S 8 Кар. С","2199.99","2"
"Нап. спирт. OLMECA Текила","2399.99","1"
"Напиток пив. СИБИРСКАЯ","75.99","1"
"Лёд пищевой CUBYCE ECO","99.99","1"
"Термокружка RED SOLUTI","399.00","1"
"Семечки БАБКИНЫ СЕМЕЧК","199.99","1"
"Чипсы LAY’S Рифленые п","169.99","1"
"Чипсы LAY’S Нежный сыр","129.99","1"
"Чипсы LAY’S Сметана и","249.99","1"
"Чипсы LAY’S Рифленые с","169.99","1"
"Чипсы LAY’S Натуральны","169.99","1"
"Чипсы LAY’S Лисичк в","129.99","1"
"Пакет ЛЕНТА с ручками","12.99","3"
"Складное кресло ACTIVE","5999.00","1"
"Вода минер ХАН-КУЛЬ Пи","49.99","6"
"Нап. пив VELKOP KOZEL т","89.99","5"
"Медовуха WHITE PHOENIX","99.99","13"
"Нап 6/А ЧЕРНОГОЛОВКА К","121.49","6"
"Напиток б/а ДОБРЫЙ Лим","125.10","6"
"Пиво с/в VELKOP KOZEL п","89.99","2"
"","Итоговая сумма","22453.43"
